gvkey;name;factiva_name;factiva_code
8549;CONOCOPHILLIPS;ConocoPhillips;PHILP
8551;P V H CORP;;
8577;PIEDMONT NATURAL GAS INC;;
8579;PIER 1 IMPORTS INC DE;;
8599;AGILYSYS INC;Agilysys Inc;PIONST
8605;PIPER JAFFRAY COMPANIES;Piper Jaffray Companies;PJH
8606;PITNEY BOWES INC;Pitney Bowes Inc;PITBOW
8633;PLANTRONICS INC NEW;;
8694;PEPCO HOLDINGS INC;Pepco Holdings Inc;POTO
8699;POWELL INDUSTRIES INC;Powell Industries Inc;POWLI
8717;PRECISION CASTPARTS CORP;Precision Castparts Corporation;PCST
8762;PROCTER & GAMBLE CO;;
8789;PROTECTIVE LIFE CORP;Protective Life Corp ;PRTC
8807;P N M RESOURCES INC;;
8810;PUBLIC SERVICE ENTERPRISE GP INC;;
8823;PULTE GROUP INC;;
8832;ARGAN INC;Argan Inc;PLOWI
8850;QUAKER CHEMICAL CORP;Quaker Chemical Corp;QCC
8858;QUALITY SYSTEMS INC;American Superconductor Corp;AMRSPC
8864;AMTECH SYSTEMS INC;Amtech Systems Inc;QRTZ
8873;QUESTAR CORP;Dominion Energy Questar Corp ;MFSUP
8892;R C M TECHNOLOGIES INC;;
8898;RAYMOND JAMES FINANCIAL INC;Raymond James Financial Inc.;RJFIN
8901;R P C INC;;
8902;R P M INTERNATIONAL INC;;
8947;UNITED STATES LIME MINERALS INC;United States Lime & Minerals Inc;RANG
8958;RAVEN INDUSTRIES INC;Raven Industries Inc;RAV
8972;RAYTHEON CO;;
9016;REGAL BELOIT CORP;Regal Beloit Corp.;REGBEL
9023;REGIS CORP MINN;;
9063;AUTONATION INC DEL;AMERISAFE Inc.;AMERSF
9125;RICHARDSON ELECTRONICS LTD;Richardson Electronics Ltd;RCHELC
9155;RITE AID CORP;Rite Aid Corp;RTEAID
9171;R G C RESOURCES INC;;
9203;ROCKWELL AUTOMATION INC;Rockwell Automation Inc;RCKWL
9216;ROGERS CORP;Rogers Corp;RGERS
9225;ROLLINS INC;Rollins Inc;ROLINC
9248;ROSS STORES INC;Ross Stores Inc;ROSTI
9273;ROYAL GOLD INC;Royal Gold Inc;ROYGLD
9299;RYDER SYSTEMS INC;;
9302;RYLAND GROUP INC;Ryland Group Inc;RYGRO
9317;S E I INVESTMENTS COMPANY;;
9324;S J W CORP;;
9325;S L INDUSTRIES INC;;
9355;SAFEGUARD SCIENTIFICS INC;Safeguard Scientifics Inc;SSCI
9359;SAFEWAY INC;Albertsons LLC;ALBERS
9372;ST JUDE MEDICAL INC;St. Jude Medical, Inc.;STJM
9411;HILLSHIRE BRANDS CO;;
9445;SCANA CORP NEW;;
9466;SCHOLASTIC CORP;Scholastic Corp;SHOL
9472;SCHULMAN A INC;A. Schulman Inc;SHLM
9555;SEALED AIR CORP NEW;;
9590;INTRICON CORP;;
9599;SEMTECH CORP;Semtech Corp;SMHC
9611;SERVICE CORP INTERNATIONAL;InvoCare Ltd;INVOCR
9664;SHENANDOAH TELECOM COMPANY;;
9667;SHERWIN WILLIAMS CO;The Sherwin-Williams Company;SHRWNW
9699;SIGMA ALDRICH CORP;Sigma-Aldrich Corporation;SIAL
9761;SKYLINE CORP;Skyline Champion Corp.;SKYCO
9771;SMITH A O CORP;;
9777;SMUCKER J M CO;The J.M. Smucker Company;SMCKR
9778;SNAP ON INC;Snap-On Inc;SNA
9783;KEYCORP NEW;;
9815;SONOCO PRODUCTS CO;Sonoco Products Co;SONOCO
9831;SOUTH JERSEY INDS INC;;
9846;EDISON INTERNATIONAL;Edison International;SOUCED
9849;AMERICAN STATES WATER CO;American States Water Co (Holding Co);SWTR
9850;SOUTHERN CO;Southern Company Inc;SOTHCO
9882;SOUTHWEST AIRLINES CO;Southwest Airlines Co.;SWAIRL
9890;SOUTHWEST GAS CORP;Southwest Gas Holdings Inc.;SWXC
9899;A T & T INC;;
9904;SOUTHWESTERN ENERGY CO;Southwestern Energy Co;SWENPO
9919;SPARTAN MOTORS INC;Spartan Motors Inc.;SPTMT
9922;SPARTON CORP;Sparton Corporation;SPAC
9969;STAAR SURGICAL CO;Staar Surgical Co;STSU
10000;STANDARD MOTOR PRODUCTS INC;Standard Motor Products Inc;SMPR
10008;STANDEX INTERNATIONAL CORP;;
10016;STANLEY BLACK & DECKER INC;Sibanye Gold Ltd.;SBYGLD
10030;STARRETT L S CO;Starrett (LS) Co;STARLS
10035;STATE STREET CORP;;
10056;STEPAN CO;Stepan Co;SCL
10086;STEWART INFORMATION SVCS CORP;;
10115;STRYKER CORP;Stryker Corporation;STRY
10121;NAVIENT CORP;Navient Corp;NVNTCW
10124;STURM RUGER & CO INC;Sturm Ruger & Co Inc;STRUG
10187;SUNTRUST BANKS INC;SunTrust Banks Inc;SUNFLA
10190;SUPERVALU INC;SUPERVALU Inc;SVU
10195;SUPERIOR INDUSTRIES INTL INC;Superior Industries International Inc;SUP
10198;SUPERIOR UNIFORM GROUP INC;Superior Group of Companies Inc;SGCM
10221;SWIFT ENERGY CO;SilverBow Resources Inc.;SWFT
10236;SYNALLOY CORP;;
10247;SYSCO CORP;;
10277;T E C O ENERGY INC;;
10297;T R C COMPANIES INC;;
10353;TEAM INC;BUSINESS TEAM INC;BSSTM
10390;TEJON RANCH CO;Tejon Ranch Co;TEJR
10405;ALLEGHENY TECHNOLOGIES;Allegheny Technologies Inc;ALGTLD
10407;TELEFLEX INC;Teleflex Incorporated;TFLECS
10411;TELEPHONE & DATA SYSTEMS INC;Telephone & Data Systems Inc;TELDS
10441;TENNANT CO;;
10443;TENNECO INC DE;;
10453;TERADYNE INC;Teradyne Inc;TRADYN
10466;TESORO CORP;Andeavor;TSPTC
10498;TEXAS INDUSTRIES INC;Texas Industries Inc;TXI
10499;TEXAS INSTRUMENTS INC;Texas Instruments Inc;TXSIL
10519;TEXTRON INC;Bell Helicopter Textron Inc;BELHEL
10530;THERMO FISHER SCIENTIFIC INC;Torchmark Corp.;TMK
10549;THOR INDUSTRIES INC;Thor Industries Inc;THORIN
10550;THORATEC CORP;;
10565;TIDEWATER INC;Tidewater Inc;TIDWAT
10567;SIX FLAGS ENTERTAINMENT CORP;Six Flags Entertainment Corp.;TIER
10581;TIMKEN COMPANY;The Timken Company;BRTIM
10609;TOOTSIE ROLL INDS INC;Tootsie Roll Industries Inc;TR
10614;TORCHMARK CORP;Team Health Holdings Inc;TMHEA
10618;TORO COMPANY;The Toro Company;TORO
10631;TOTAL SYSTEM SERVICES INC;Total System Services, Inc;TOTSS
10685;TRANSCAT INC;Transcat Inc;TRNS
10726;TRIBUNE MEDIA CO;Tribune Media Co.;TRBNE
10735;TRINITY INDUSTRIES INC;Trinity Industries Inc;TRIN
10777;TWIN DISC INC;Twin Disc Inc;TWDI
10789;TYLER TECHNOLOGIES INC;Tyler Technologies Inc;TYLR
10793;TYSON FOODS INC;Tyson Foods Inc;TYSF
10795;UNITED CONTINENTAL HOLDINGS INC;United Continental Holdings, Inc.;UAL
10801;U G I CORP NEW;;
10813;U R S CORP NEW;;
10816;U S G CORP;;
10839;UNIFI INC;Unifi Inc;UNFI
10840;UNIFIRST CORP;Unifirst Corp;IUNIS
10860;AMEREN CORP;;
10867;UNION PACIFIC CORP;Union Pacific Corp;UNPACF
10877;UNIT CORP;;
10902;UNITED GUARDIAN INC;United-Guardian Inc;NIR
10903;UNITEDHEALTH GROUP INC;UnitedHealth Group Incorporated;UHELC
10916;U M B FINANCIAL CORP;;
10920;UNITED PARCEL SERVICE INC;United Parcel Service Inc;UPSER
10983;UNITED TECHNOLOGIES CORP;Yuh Chen United Technologies Corp;YEECHC
10984;SPRINT CORP NEW;;
10991;SCIENTIFIC GAMES CORP;Scientific Games Corp;UNTOT
10999;UNITIL CORP;;
11012;SENSIENT TECHNOLOGIES CORP;Sensient Technologies Corp;UF
11017;UNIVERSAL CORPORATION;Strides Pharma Science Ltd;STRIDE
11032;UNIVERSAL HEALTH SERVICES INC;Universal Health Services Inc;UHSIB
11051;UTAH MEDICAL PRODUCTS INC;Utah Medical Products Inc;UTMD
11060;V F CORP;;
11065;V S E CORP;;
11094;VALMONT INDUSTRIES INC;Valmont Industries Inc;VALM
11096;VALSPAR CORP;The Valspar Corporation;VAL
11099;VALUE LINE INC;Value Line Inc;VALLI
11115;VARIAN MEDICAL SYSTEMS INC;Varian Medical Systems Inc;VARAS
11124;VEECO INSTRUMENTS INC DEL;;
11191;VISHAY INTERTECHNOLOGY INC;Vishay Intertechnology Inc;VSH
11213;VOLT INFORMATION SCIENCES INC;Volt Information Sciences Inc.;VOLTIN
11228;VULCAN MATERIALS CO;;
11234;WD 40 CO;WD-40 Company;WDFC
11259;WAL MART STORES INC;Walmart Inc;WLMRT
11296;W G L HOLDINGS INC;;
11304;AVISTA CORP;Avista Corp;WWPOW
11313;WATSCO INC;Watsco Inc;WSO
11343;WEIS MARKETS INC;Weis Markets Inc;WEISMK
11376;WEST PHARMACEUTICAL SERVICES INC;West Pharmaceutical Services Inc;WST
11399;WESTERN DIGITAL CORP;Western Digital Corporation ;WSTDGT
11440;WESTMORELAND COAL CO;Westmoreland Coal Co;WSTMOR
11446;MEADWESTVACO CORP;MeadWestvaco Corp;MEADC
11455;WEYCO GROUP INC;Weyco Group Inc;WEYS
11465;WHIRLPOOL CORP;Whirlpool Corp;WHRLPL
11506;WILLIAMS COS;The Williams Companies, Inc.;WLMSCO
11511;WILLIAMS SONOMA INC;Williams-Sonoma Inc;WISON
11537;WINNEBAGO INDUSTRIES INC;Winnebago Industries Inc;WINBAG
11550;WISCONSIN ENERGY CORP;WEC Energy Group Inc;WISCEL
11554;ALLIANT ENERGY CORP;Alliant Energy Corp;WPL
11566;WOLVERINE WORLD WIDE INC;Wolverine World Wide Inc;WWW
11580;WOODWARD INC;Woodward Inc.;WDWDG
11584;FOOT LOCKER INC;Foot Locker Inc;WLTH
11600;WORTHINGTON INDUSTRIES INC;Worthington Industries Inc;WTHG
11636;XEROX CORP;Xerox Corporation;XRXCO
11644;KEY ENERGY SERVICES INC;Key Energy Services, Inc.;KEGEN
11649;Y R C WORLDWIDE INC;;
11657;YORK WATER COMPANY;;
11669;ZALE CORP NEW;;
11670;HARBINGER GROUP INC;Spectrum Brands Holdings Inc;ZPTCO
11672;T J X COMPANIES INC NEW;;
11687;ZIONS BANCORPORATION;Zions Bancorporation;ZION
11721;OSHKOSH CORP;;
11745;QUALYS INC;Qualys Inc;QUALY
11756;ALEXANDER & BALDWIN INC NEW;;
11770;STIFEL FINANCIAL CORP;Stifel Financial Corporation;SFFC
11811;HENRY JACK & ASSOC INC;;
11854;N M I HOLDINGS INC;;
11856;B B & T CORP;BB&T Corp;SNATCO
11861;VALLEY NATIONAL BANCORP;Valley National Bancorp;VNBNJ
11872;ARK RESTAURANTS CORP;Ark Restaurants Corp;ARKRES
11896;FIRST MIDWEST BANCORP DE;;
11922;NATRL GROCERS BY VIT COTTAGE INC;;
11923;ANADARKO PETROLEUM CORP;Anadarko Petroleum Corp;ANADP
11944;TUESDAY MORNING CORP;Adobe Inc.;ADOSY
11976;ROCKY MOUNTAIN CHOCOLATE FAC INC;;
12053;E M C CORP MA;;
12075;BALLY TECHNOLOGIES INC;Bally Technologies Inc;ADVPAT
12123;BIG LOTS INC;Big Lots Inc;COSTC
12124;MORGAN STANLEY DEAN WITTER & CO;Morgan Stanley;DWITD
12138;T ROWE PRICE GROUP INC;T Rowe Price Group Inc;ROWPRI
12141;MICROSOFT CORP;Microsoft Corporation;MCROST
12142;ORACLE CORP;Oracle Corporation;ORCLE
12151;COTY INC;Coty Inc;CTYINC
12171;TECH DATA CORP;Tech Data Corp;TECHDA
12181;REPLIGEN CORP;Repligen Corp;REPGEN
12206;DIRECTV;DIRECTV Broadband Inc;TLOCTY
12215;CYPRESS SEMICONDUCTOR CORP;Cypress Semiconductor Corp;CYPS
12216;LINEAR TECHNOLOGY CORP;Linear Technology Corp;LINTEC
12234;SIGMA DESIGNS INC;Sigma Designs Inc;SIGMAD
12250;A M A G PHARMACEUTICALS INC;;
12262;ASTEC INDUSTRIES INC;Astec Industries Inc;ASTII
12266;WERNER ENTERPRISES INC;Werner Enterprises Inc;WERENT
12338;HEALTH MANAGEMENT ASSOCIATES INC;Health Management Associates Inc;HMANAS
12379;AMERICAN WOODMARK CORP;American Woodmark Corp;AWOOD
12389;HARLEY DAVIDSON INC;Harley-Davidson Inc;HDAV
12392;SKYWEST INC;SkyWest, Inc.;SKWAIR
12395;TOLL BROTHERS INC;Toll Brothers Inc;TOLLB
12403;FREDS INC;Fred's Inc;FRDINC
12413;ENGILITY HLDGS INC;;
12428;PORTLAND GENERAL ELECTRIC CO;Portland General Electric Co;PRTGEL
12433;MERIDIAN BIOSCIENCE INC;Meridian Bioscience Inc;MEDIAG
12441;GARTNER INC;Gartner Inc;GRTG
12445;WATTS WATER TECHNOLOGIES INC;Watts Water Technologies Inc;WATIND
12471;WORLD FUEL SERVICES CORP;World Fuel Services Corporation;INTREV
12482;CLEARFIELD INC;Clearfield Inc.;APAOP
12485;CABLEVISION SYSTEMS CORP;Altice Europe Nv;ALTCB
12540;ADOBE SYSTEMS INC;Adobe Inc.;ADOSY
12544;ST JOE CO;The St. Joe Company;STJO
12545;HARTE HANKS INC;Harte-Hanks Inc;HHN
12559;FUEL SYSTEMS SOLUTIONS INC;Fuel Systems Solutions Inc;AIRSEN
12575;CYANOTECH CORP;Cyanotech Corp;CYNTCH
12576;BIO REFERENCE LABORATORIES INC;Bio Reference Laboratories Inc;MEDMOB
12578;VALHI INC NEW;;
12589;HEALTHSOUTH CORP;;
12597;LAKELAND INDUSTRIES INC;Lakeland Industries Inc;LAKLND
12598;P A M TRANSPORTATION SVCS INC;;
12603;C N O FINANCIAL GROUP INC;;
12615;M I HOMES INC;MI Homes Inc;MISCHH
12625;MARTEN TRANSPORT LTD;Marten Transport Ltd;MARTT
12635;FISERV INC;Fiserv Inc;FISRV
12689;K B HOME;;
12726;UNUM GROUP;Unum Group;UMLA
12756;COCA COLA ENTERPRISES INC NEW;;
12785;PILGRIMS PRIDE CORP NEW;;
12788;HARMAN INTL INDS INC NEW;Harman International Industries Inc;HARINT
12796;CORELOGIC INC;CoreLogic Inc.;FAMR
12803;GIGAMON INC;Gigamon Inc;GIGASL
12815;RENTRAK CORP;Rentrak Corp;NVIO
12825;J & J SNACK FOODS CORP;J&J Snack Foods Corp;JJSNAK
12840;HEARTLAND EXPRESS INC;Heartland Express Inc;HEXP
12850;CERNER CORP;Cerner Corp;CERNE
12874;ICAD INC;icad Inc;HOWT
12909;MARKEL CORP;Markel Corporation;MKLC
12915;ORASURE TECHNOLOGIES INC;OraSure Technologies Inc;ETOPE
12945;PLEXUS CORP;Plexus Corp;PLECO
12950;AIRGAS INC;Airgas Inc.;AIRGS
12964;CADIZ INC;Cadiz Inc;ARDTC
12976;SEARS HOMETOWN & OUTLET STRS INC;;
12978;KRAFT FOODS GROUP INC;Kraft Foods Group Inc.;KFGIZ
13003;JOY GLOBAL INC;Joy Global Inc.;HARNSH
13032;CASH AMERICA INTERNATIONAL INC;Cash America International Inc;CAMINV
13041;SYNOVUS FINANCIAL CORP;Synovus Financial Corp.;CBTB
13092;JACK IN THE BOX INC;Jack in the Box Inc;FODMKR
13128;ECOLOGY & ENVIRONMENT INC;Ecology & Environment Inc;ECEN
13200;PHOTRONICS INC;Photronics Inc;PHLAB
13323;SANDERSON FARMS INC;Sanderson Farms Inc ;SANFAR
13341;PROGRESSIVE CORP OH;;
13342;R L I CORP;;
13354;VOXX INTERNATIONAL CORP;;
13406;CALGON CARBON CORP;Calgon Carbon Corporation;CLGON
13421;CADENCE DESIGN SYSTEMS INC;Cadence Design Systems Inc;ECADUS
13440;LEVEL 3 COMMUNICATIONS INC;Level 3 Communications Inc;LVLTCM
13453;OPPENHEIMER HOLDINGS INC;Oppenheimer Holdings Inc;GIAKF
13480;EBIX INC;Ebix Inc;DELINF
13540;WHITEWAVE FOODS CO;;
13561;M B I A INC;;
13570;MIDDLEBY CORP;;
13599;CELGENE CORP;;
13602;AMERICAS CAR MART INC;America's Car-Mart Inc;SKYAM
13619;ABIOMED INC;Abiomed Inc;ABMD
13623;CONMED CORP;Conmed Corp;CNMD
13646;TIFFANY & CO NEW;Tiffany & Co.;TFANY
13657;ALLIANCE HEALTHCARE SERVICES INC;Alliance HealthCare Services Inc.;ALLIM
13679;ARC WIRELESS SOLUTIONS INC;;
13700;DENTSPLY INTERNATIONAL INC NEW;;
13714;C B S CORP NEW;;
13721;ZOETIS INC;Zoetis, Inc.;ZOETII
13733;PSYCHEMEDICS CORP;Psychemedics Corporation;PSMDCS
13765;NATURAL ALTERNATIVES INTL INC;Natural Alternatives International Inc;NATALT
13782;MULTI COLOR CORP;Multi-Color Corporation;MLTICC
13786;HERON THERAPEUTICS INC;Heron Therapeutics Inc.;APOLYM
13789;AIR METHODS CORP;Air Methods Corp;CELTCH
13800;ALMOST FAMILY INC;Almost Family Inc;SENSER
13824;FAIR ISAAC CORP;Fair Isaac Corp;FRIS
13835;REGULUS THERAPEUTICS INC;Regulus Therapeutics Inc;REGTHR
13839;CAMBREX CORP;Cambrex Corp;CAGRI
13861;TILE SHOP HOLDINGS INC;Tetraphase Pharmaceuticals Inc.;TTRPPI
13906;JOHNSON OUTDOORS INC;Johnson Outdoors Inc;JOWASS
13963;VECTOR GROUP LTD;Vector Group Ltd;LIGGG
13988;SCHWAB CHARLES CORP NEW;;
14027;CLEAN HARBORS INC;Clean Harbors Inc;CLNHAR
14032;LIFELOCK INC;LifeLock Inc;LFLCKI
14084;ALBANY INTERNATIONAL CORP NEW;;
14108;CYBEROPTICS CORP;CyberOptics Corp;CYBOP
14163;MCCLATCHY CO;Marsh & McLennan Companies Inc;MM
14172;FULTON FINANCIAL CORP PA;;
14219;BANCORPSOUTH INC;BancorpSouth Bank;BNMISS
14225;FASTENAL COMPANY;;
14253;WESTAMERICA BANCORPORATION;Westamerica Bancorp ;IBSI
14256;MAXIM INTEGRATED PRODUCTS INC;Maxim Integrated Products Inc;MXPROD
14275;FIRST REPUBLIC BANK S F NEW;;
14282;AMPHENOL CORP NEW;;
14304;AKORN INC;Akorn Inc;AKORN
14309;INTERMEDIATE PARFUMS INC;;
14311;POLARIS INDUSTRIES INC;Polaris Industries Inc;POLIN
14320;INTERCEPT PHARMACEUTICALS INC;Intercept Pharmaceuticals, Inc.;IPHARU
14359;PIONEER NATURAL RESOURCES CO;Pioneer Natural Resources Co;PARPAR
14369;UNITED STATES CELLULAR CORP;United States Cellular Corp;USCELL
14370;MANPOWERGROUP;ManpowerGroup Inc.;BLUARW
14401;INVESTORS TITLE CO;Investors Title Co;INTICO
14412;SOTHEBYS;Sotheby's;SOTH
14418;M G M RESORTS INTERNATIONAL;;
14477;WASTE MANAGEMENT INC DEL;;
14535;SCRIPPS E W CO OHIO;;
14551;SILVERCREST ASSET MNGMNT GRP INC;;
14561;II VI INC;II VI Inc;IIVI
14563;MERCER INTERNATIONAL INC;Mercer International Inc;ASAMC
14590;FREEPORT MCMORAN COPPER & GOLD;Freeport-McMoRan Inc.;FMCC
14605;WAUSAU PAPER CORP;Wausau Paper Corp;WSAU
14624;OFFICE DEPOT INC;Office Depot Inc;OFFCD
14790;MERITAGE HOMES CORP;Meritage Homes Corp;EMDMI
14794;CORE MOLDING TECHNOLOGIES INC;Core Molding Technologies Inc;RYMACM
14822;BERKLEY W R CORP;WR Berkley Corp;BKLY
14824;CINCINNATI FINANCIAL CORP;Cincinnati Financial Corp;CINFIN
14828;OLD REPUBLIC INTERNATIONAL CORP;;
14868;FAIRWAY GROUP HOLDINGS CORP;Fairway Group Holdings Corp.;FGHCOR
14891;M G P INGREDIENTS INC;;
14898;3 D SYSTEMS CORP DEL;;
14934;DEVON ENERGY CORP NEW;;
14954;LINDSAY CORP;Lindsay Corp.;LNDSYM
14960;LABORATORY CORP AMERICA HLDGS;;
15027;T O R MINERALS INTL INC;;
15044;WORKDAY INC;Workday Inc. ;WRKDYI
15060;CALLON PETROLEUM CO DEL;;
15087;LIFEWAY FOODS INC;Lifeway Foods Inc;LIFWAY
15153;FEDERAL AGRICULTURAL MORT CORP;;
15197;CHEMICAL FINANCIAL CORP;Chemical Financial Corp;CHEMF
15199;1ST SOURCE CORP;1st Source Corp;FTSBK
15215;OVASCIENCE INC;Millendo Therapeutics Inc.;OVASIN
15247;VALERO ENERGY CORP NEW;;
15252;TRIMAS CORP;TriMas Corp;TRIMAS
15267;IDEX CORP;IDEX CORPORATION (DESG);IDEXJA
15274;WALTER ENERGY INC;Walter Energy Inc;WALJ
15314;SOLARCITY CORP;Tesla, Inc.;TESLMI
15343;MUELLER INDUSTRIES INC;Markel Corporation;MKLC
15363;T C F FINANCIAL CORP;;
15414;TECHNE CORP;;
15417;BROWN & BROWN INC;Brown & Brown Inc;POEA
15459;TREDEGAR CORP;;
15521;STAPLES INC;Staples Inc;STPLS
15855;SYMANTEC CORP;Symantec Corporation;SYMT
16009;SPORTSMANS WAREHOUSE HLDGS INC;;
16066;MONROE CAPITAL CORP;James Monroe Capital Corp;ARGINC
16101;ABBVIE INC;AbbVie Inc.;ABVBBA
16113;ARTISAN PARTNERS ASSET MGMT INC;;
16188;COGNEX CORP;;
16245;PEOPLES UNITED FINANCIAL INC;People's United Financial Inc;PBRDGE
16269;ENANTA PHARMACEUTICALS INC;Enanta Pharmaceuticals Inc.;ENANTP
16384;ING U S INC;Voya Financial Inc.;IUHC
16401;CIRRUS LOGIC INC;Cirrus Logic Inc;CIRRLO
16416;RUCKUS WIRELESS INC;Ruckus Wireless Inc.;RKSWIR
16453;NEOGEN CORP;Neogen Corporation;NEOGE
16477;LEAR CORP;Lear Corporation;LSEATC
16478;EOG RESOURCES INC;EOG Resources Inc;ENOG
16486;BOISE CASCADE CO;Boise Cascade Co.;BCSCDL
16549;SERVISFIRST BANCSHARES INC;ServisFirst Bancshares, Inc.;SRVSFT
16597;LATTICE SEMICONDUCTOR CORP;Lattice Semiconductor Corp;LATS
16653;TAYLOR MORRISON HOME CORP;;
16668;ARROW FINANCIAL CORP;Arrow Financial Corp;AROW
16689;NORTHEAST BANCORP;Northeast Bancorp;BTHCOR
16698;BRYN MAWR BANK CORP;Bryn Mawr Bank Corp;BRYMAR
16705;CENTRAL PACIFIC FINANCIAL CORP;Central Pacific Financial Corp;CPBINC
16710;DIGI INTERNATIONAL INC;Digi International Inc;DIGII
16716;E M C INSURANCE GROUP INC;;
16721;ELECTRONIC ARTS INC;Electronic Arts Inc;ELARTS
16738;HOUGHTON MIFFLIN HARCOURT CO;;
16775;CITIZENS INC;Citizens Inc;CITINC
16777;FIRST BANCORP NC;First Bancorp;FBCARO
16781;CITY HOLDING CO;City Holding Company;CITYH
16790;COMMUNITY BANK SYSTEM INC;Community Bank System Inc;COMMBK
16821;FIRST BANCORP P R;;
16832;GLACIER BANCORP INC NEW;;
16845;FIRST MERCHANTS CORP;First Merchants Corp;FIRMER
16848;RETROPHIN INC;Retrophin, Inc.;AMDSIN
16886;HEALTH INSURANCE INNOVATIONS INC;Health Insurance Innovations Inc.;HIIVZZ
16889;INDEPENDENT BANK CORP MA;;
16890;INDEPENDENT BANK CORP MICH;;
16967;HINGHAM INSTITUTION FOR SVGS MA;;
16981;ORIENTAL FINANCIAL GROUP INC;OFG Bancorp;ORFEDS
16989;PEOPLES BANCORP NC INC NEW;;
17012;EXONE CO;;
17035;MERCURY GENERAL CORP NEW;;
17056;XOOM CORP;;
17073;NATIONAL WESTERN LIFE INS CO;National Western Life Group Inc.;NWLIA
17074;NAVIGATORS GROUP INC;The Navigators Group, Inc.;NAVGRP
17095;OLD NATIONAL BANCORP;Old National Bancorp;OLNB
17101;IMMUNOGEN INC;Immunogen Inc;IMMGEN
17106;PEOPLES BANCORP INC;Peoples Bancorp Inc;PBPOCI
17115;SELECTIVE INSURANCE GROUP INC;Selective Insurance Group Inc;SELING
17120;S V B FINANCIAL GROUP;;
17131;INDEPENDENCE HOLDING CO NEW;;
17132;WSFS FINANCIAL CORP;WSFS Financial Corporation;WSFS
17145;WASHINGTON FEDERAL INC;Washington Federal Inc;WFSL
17150;WEBSTER FINANCIAL CORP;Webster Financial Corp;WEBFIN
17151;WESBANCO INC;WesBanco Inc.;WBAN
17184;SEACOAST BANKING CORP FLA;;
17195;FIRST FINANCIAL BANCORP OHIO;First Financial Bancorp;FFBOH
17239;KINDRED HEALTHCARE INC;Kindred Healthcare Inc.;VNCINC
17240;TOMPKINS FINANCIAL CORP;;
17245;TRUSTCO BANK CORP NY;Trustco Bank Corp NY;TRSTNY
17248;UNITED BANKSHARES INC;United Bankshares Inc;UNBAN
17252;UNITED FIRE GROUP INC;United Fire Group Inc.;UFCS
17277;N V 5 HOLDINGS INC;;
17306;PENNYMAC FINANCIAL SERVICES INC;PennyMac Financial Services Inc.;PNYMAC
17350;TETRAPHASE PHARMACEUTICALS INC;T2 Biosystems Inc.;TTWXBI
17367;AMERICAN NATIONAL BANKSHARES INC;American National Bankshares Inc;AMNABK
17376;MARIN SOFTWARE INC;Marin Software Inc.;VLPPST
17438;BRIDGE BANCORP INC;Bridge Bancorp Inc;BRIDB
17451;INDEPENDENT BANK GROUP INC;Independent Bank Group Inc.;INDBCO
17498;CHIMERIX INC;Chimerix Inc.;HLJVKT
17505;RALLY SOFTWARE DEVELOPMENT CORP;Rally Software Development Corp;RALSDC
17534;C N B FINANCIAL CORP PA;;
17550;BLACKHAWK NETWORK HOLDINGS INC;Blackhawk Network Holdings Inc.;BLACNI
17553;MODEL N INC;Model N Inc.;MODLN
17567;ARATANA THERAPEUTICS INC;Aratana Therapeutics Inc.;QYRQRW
17581;TEXTURA CORP;Oracle Corporation;ORCLE
17653;ADMA BIOLOGICS INC;ADMA Biologics Inc.;ADMBLI
17687;HEMISPHERE MEDIA GROUP INC;Hemisphere Media Group, Incorporated;HMTAOB
17688;RECEPTOS INC;Receptos Inc.;RCPTIU
17693;MARKETO INC;Marketo Inc.;MVRGIV
17695;TABLEAU SOFTWARE INC;Tableau Software, Inc;TABSO
17696;TRISTATE CAPITAL HOLDINGS INC;TriState Capital Holdings, Inc.;TCAPHI
17699;C S T BRANDS INC;;
17808;EPIZYME INC;EpiZyme, Inc.;EPIZYI
17811;CHANNELADVISOR CORP;ChannelAdvisor Corp;CHAAD
17812;H D SUPPLY HOLDINGS INC;;
17877;CHEMUNG FINANCIAL CORP;Chemung Financial Corporation;CHMUNG
17928;QUINTILES TRANSNATIONAL HLDGS IN;;
17931;PORTOLA PHARMACEUTICALS INC;Portola Pharmaceuticals Inc.;PORPHI
17934;SPROUTS FARMERS MARKET INC;Sprouts Farmers Market Inc.;CHAZSP
17998;BLUEBIRD BIO INC;bluebird bio, Inc.;GENXPH
18003;PLY GEM HOLDINGS INC;CI Capital Partners LLC;CAXTIS
18004;CENTURY COMMUNITIES INC;Century Communities Inc;CCMMCL
18009;NANOSTRING TECHNOLOGIES INC;NanoString Technologies Inc.;NNSTTI
18036;COMMSCOPE HOLDING CO INC;;
18037;CITIZENS & NORTHERN CORP;Citizens & Northern Corp;CTSNTH
18043;NEWS CORP NEW;;
18047;NOODLES & CO;Noodles & Co.;NOODAC
18049;F N B CORP PA;;
18066;TRULIA INC;Trulia Inc.;TRULIA
18072;REGADO BIOSCIENCES INC;Tobira Therapeutics Inc.;RBIOSI
18109;JONES ENERGY INC;Jones Energy Inc.;JNSELM
18110;FARMERS CAPITAL BANK CORP;Farmers Capital Bank Corp.;FARMCB
18159;AGIOS PHARMACEUTICALS INC;Agios Pharmaceuticals Inc;AGSPHI
18161;CONATUS PHARMACEUTICALS INC;Conatus Pharmaceuticals Inc.;CONPH
18162;ESPERION THERAPEUTICS INC NEW;;
